;Unnamed: 0;Отметка времени;Ваш пол;Ваш возраст;Укажите вашу профессию, по которой вы работает сейчас (если вы фрилансер - укажите основное поле деятельности);Unnamed: 4;Вам нравится ваша профессия? Не по зарплате, не по удобствам и т. д., а именно сама деятельность.;Сколько лет вы работаете по профессии?;Я могу объяснить свои действия [■];Другие не видят меня таким, каким себя вижу я [■];Я принимаю критику со стороны других людей [■];Я могу точно описать, что я чувствую [■];Вещи, которые случаются в моей жизни, имеют для меня какой-либо смысл [■];Я остаюсь спокойным даже в сложных ситуациях [■];Я склонен к вспышкам гнева [■];Я чувствую себя несчастным [■];Меня раздражают различные вещи, другие люди или я сам [■];Я могу увлечься и сделать что-то о чем буду потом жалеть [■];Я уверен в своих целях на будущее [■];Моя карьера движется в правильном направлении [■];Мне трудно оставаться энтузиастом, когда я встречаюсь с трудностями [■];Я чувствую себя воодушевленным, когда думаю о своих целях [■];Я последовательно двигаясь к достижению своих целей [■];Мои коллеги необщительны [■];Я хорошо лажу со своими коллегами [■];Я легко могу понять, что чувствуют другие люди [■];Я не могу предсказать, как мои коллеги поведут себя в различных ситуациях [■];Людям больше нравится работать со мной, чем с другими  [■];Я встречаю людей с тяжелым характером [■];Я часто добиваюсь взаимовыгодных результатов [■];Я чувствую себя не комфортно, когда другие люди не могут сдержать эмоции [■];У меня быстро заканчивается терпение с некомпетентными людьми [■];Я душа компании [■];Я немного беспокоюсь за других [■];Я всегда готов к неожиданным ситуациям [■];Я не стрессоустойчивый [■];У меня богатый словарный запас [■];Я не многословен [■];Я заинтересован в людях [■];Я часто разбрасываю свои вещи повсюду [■];Я почти всегда спокоен [■];У меня есть сложности с пониманием абстракций [■];Я чувствую себя комфортно в компаниях людей [■];Я часто оскорбляю людей [■];Я уделяю внимание деталям [■];Я беспокоюсь о разных вещах [■];У меня богатое воображение [■];В компании я держусь на заднем плане [■];Я понимаю эмоции других людей [■];Я не очень люблю убирать за собой мусор [■];Я редко чувствую грусть [■];Меня не особо интресовала математика [■];Обычно я первый начинаю разговор [■];Меня мало интересуют проблемы друзей [■];Я предпочитаю выполнять всю работу по дому сразу [■];Меня легко отвлечь [■];В моей голове много отличных идей [■];Мне мало есть, что сказать [■];Я добрый [■];Я часто забываю положить вещи обратно [■];Я легко расстраиваюсь [■];Мне сложно представить несуществующий объект [■];Я разговариваю со многими людьми на встречах [■];Меня не заботит, чем живут окружающие [■];Я люблю порядок [■];Переходы от грусти к радости у меня могут происходить несколько раз за день [■];Я быстро осваиваю что-то новое [■];Я не люблю быть в центре внимания [■];Я уделяю время на других [■];Я уклоняюсь от своих обязанностей [■];У меня бывают частые перепады настроения [■];Я использую сложные выражения в речи [■];Мне нравится, когда меня слушают люди [■];Я чувствую эмоции других людей [■];Я следую расписанию [■];Я раздражительный [■];Я трачу время на обдумывание произошедшего [■];Я веду себя тихо среди незнакомцев [■];Мне легко повлиять на чувства людей [■];Я люблю то, чем я занимаюсь [■];На меня часто находит хандра [■];Мне не хватает времени, чтобы воплотить все мои задумки [■];Я легко знакомлюсь с людьми;Мне нравится что-нибудь мастерить;Я люблю посещать музеи, театры и выставки;Мне нравиться присматривать за  животными;Мне обычно нравиться что-то вычислять, чертить чертежи или составлять графики;Я легко нахожу язык со сверстниками или детьми;Я с удовольствием ухаживаю за растениями;Я пишу почти без ошибок;Мои поделки обычно интересны другим людям;Мне говорили, что у меня есть художественные способности;Я люблю читать об окружающей природе;Я бы хотел принять участие в спектакле или концерте;Я люблю читать про устройство разных приборов и механизмов;Мне нравятся разгадывать  различные головоломки и ребусы;Я легко улаживаю разногласия между людьми;Мне говорили, у меня есть способности к работе с техникой;Людям нравится мое творчество;У меня есть способности к работе с растениями и животными;Я могу ясно излагать свои мысли в письменной форме;Я почти никогда ни с кем не ссорюсь;Люди одобряли мои технические решения;Мне легко даются иностранные языки;Я часто помогаю незнакомым людям;Я провожу много времени за музыкой, рисованием или чтением книг;Мне бы понравилось обучать животных или собирать мной выращенный урожай;В детстве мне нравилось разбирать различную технику;Мне обычно удается убедить людей в своей правоте;Я люблю наблюдать за поведением зверей;Я люблю читать научно-популярную, критическую литературу, публицистику;Стараюсь понять секреты мастерства и пробую свои силы в живописи,музыке и т. п.;Если вам не нравится Ваша профессия, то кем бы Вы хотели работать? ;encoded;Кем вы еще работали от года и больше?;encoded_1
48;48;24.10.2018 15:19:01;Мужской;24;Аналитик.;3;Да;1 год;Почти всегда;Иногда;Обычно;Иногда;Иногда;Обычно;Редко;Редко;Иногда;Иногда;Редко;Иногда;Иногда;Обычно;Иногда;Почти никогда;Почти всегда;Иногда;Редко;Иногда;Иногда;Обычно;Обычно;Иногда;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее несогласен;Не согласен;Скорее несогласен;Скорее согласен;Не согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Согласен;Согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Согласен;Согласен;Не согласен;Скорее согласен;Трудно решить;Трудно решить;Нет;Да;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
49;49;24.10.2018 15:20:55;Мужской;18;Проектирование;6;Да;1 год;Обычно;Почти всегда;Редко;Обычно;Почти всегда;Почти никогда;Почти всегда;Иногда;Обычно;Почти всегда;Обычно;Редко;Обычно;Почти всегда;Иногда;Обычно;Иногда;Обычно;Иногда;Редко;Почти всегда;Почти всегда;Иногда;Почти всегда;Скорее несогласен;Скорее согласен;Трудно решить;Согласен;Скорее несогласен;Трудно решить;Не согласен;Скорее несогласен;Не согласен;Трудно решить;Не согласен;Согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Согласен;Скорее согласен;Трудно решить;Согласен;Скорее несогласен;Скорее несогласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Согласен;Не согласен;Скорее несогласен;Скорее согласен;Не согласен;Трудно решить;Согласен;Не согласен;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Согласен;Не согласен;Согласен;Трудно решить;Согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Да;Да;Нет;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Нет;Нет;Я хотел бы вообще не работать;8;У меня не было других работ;0
50;50;24.10.2018 15:24:48;Мужской;27;Зам. начальника отдела;6;Да;1 год;Почти всегда;Редко;Обычно;Почти всегда;Обычно;Почти всегда;Редко;Редко;Почти никогда;Почти всегда;Редко;Обычно;Редко;Почти всегда;Обычно;Редко;Почти всегда;Редко;Почти никогда;Почти всегда;Почти всегда;Почти всегда;Почти всегда;Почти всегда;Скорее несогласен;Скорее согласен;Трудно решить;Не согласен;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Не согласен;Скорее согласен;Скорее несогласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Согласен;Согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Согласен;Не согласен;Скорее несогласен;Согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Согласен;Скорее несогласен;Согласен;Скорее несогласен;Не согласен;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Да;Да;Мне нравится моя профессия;7;Переводчик, офис-менеджер, рекламщик;6
51;51;24.10.2018 15:26:10;Мужской;21;Веб-разработчик;3;Нет;1 год;Обычно;Почти всегда;Почти всегда;Редко;Почти никогда;Обычно;Редко;Почти всегда;Почти всегда;Обычно;Почти никогда;Редко;Обычно;Почти никогда;Почти никогда;Почти всегда;Почти никогда;Обычно;Редко;Редко;Иногда;Иногда;Почти всегда;Иногда;Не согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Согласен;Согласен;Скорее согласен;Согласен;Не согласен;Не согласен;Не согласен;Скорее согласен;Скорее несогласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Трудно решить;Согласен;Согласен;Скорее согласен;Не согласен;Скорее несогласен;Согласен;Согласен;Не согласен;Не согласен;Согласен;Трудно решить;Нет;Нет;Нет;Да;Нет;Нет;Нет;Да;Нет;Нет;Да;Да;Нет;Да;Нет;Да;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Да;Да;Да;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
52;52;24.10.2018 15:27:04;Мужской;23;Художественный покрас изделий;4;Да;2-3 года;Обычно;Иногда;Иногда;Почти всегда;Обычно;Почти всегда;Иногда;Редко;Иногда;Иногда;Обычно;Обычно;Редко;Обычно;Иногда;Почти никогда;Обычно;Обычно;Редко;Обычно;Редко;Обычно;Иногда;Обычно;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Трудно решить;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Не согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Не согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Трудно решить;Трудно решить;Согласен;Скорее несогласен;Согласен;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Мне нравится моя профессия;7;У меня не было других работ;0
53;53;24.10.2018 15:27:34;Мужской;27;Композитор / Sound Designer;4;Да;Больше 5 лет;Почти всегда;Редко;Обычно;Почти всегда;Почти всегда;Обычно;Иногда;Почти никогда;Редко;Редко;Почти всегда;Почти всегда;Редко;Обычно;Обычно;Редко;Обычно;Обычно;Обычно;Иногда;Иногда;Обычно;Редко;Иногда;Согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Согласен;Не согласен;Согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Не согласен;Согласен;Скорее согласен;Трудно решить;Не согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Не согласен;Скорее согласен;Согласен;Не согласен;Согласен;Да;Нет;Нет;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
54;54;24.10.2018 15:36:37;Мужской;27;Senior Malware Analyst;3;Да;3-5 года;Обычно;Обычно;Почти всегда;Обычно;Почти всегда;Почти всегда;Почти никогда;Почти никогда;Почти никогда;Иногда;Обычно;Почти всегда;Иногда;Почти всегда;Почти всегда;Обычно;Обычно;Иногда;Иногда;Обычно;Обычно;Обычно;Обычно;Почти всегда;Трудно решить;Скорее согласен;Трудно решить;Не согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Трудно решить;Не согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Скорее несогласен;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Трудно решить;Согласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Трудно решить;Скорее согласен;Согласен;Трудно решить;Согласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Да;Нет;Да;Нет;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Мне нравится моя профессия;7;Web-developer;3
55;55;24.10.2018 15:37:21;Мужской;30;Копирайтер;4;Да;2-3 года;Обычно;Иногда;Почти всегда;Иногда;Обычно;Обычно;Редко;Редко;Иногда;Редко;Обычно;Обычно;Иногда;Обычно;Обычно;Иногда;Обычно;Редко;Иногда;Обычно;Редко;Обычно;Почти всегда;Иногда;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
56;56;24.10.2018 15:39:09;Мужской;21;Журналист;4;Да;1 год;Почти всегда;Иногда;Обычно;Обычно;Обычно;Обычно;Редко;Редко;Иногда;Иногда;Почти всегда;Почти всегда;Редко;Почти всегда;Почти всегда;Почти никогда;Почти всегда;Обычно;Обычно;Иногда;Иногда;Обычно;Иногда;Редко;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Не согласен;Не согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Не согласен;Трудно решить;Трудно решить;Не согласен;Не согласен;Скорее несогласен;Скорее несогласен;Согласен;Согласен;Трудно решить;Скорее несогласен;Трудно решить;Не согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Согласен;Согласен;Скорее согласен;Трудно решить;Скорее согласен;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Я хотел бы вообще не работать;8;Продавец;5
57;57;24.10.2018 15:39:44;Мужской;22;Моряк;6;Да;2-3 года;Почти всегда;Иногда;Обычно;Почти всегда;Почти всегда;Обычно;Редко;Иногда;Редко;Иногда;Почти всегда;Почти всегда;Почти никогда;Почти всегда;Обычно;Редко;Обычно;Почти всегда;Обычно;Обычно;Иногда;Обычно;Иногда;Обычно;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Скорее согласен;Скорее согласен;Не согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Трудно решить;Согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Согласен;Трудно решить;Согласен;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Нет;Да;Мне нравится моя профессия;7;У меня не было других работ;0
58;58;24.10.2018 15:41:10;Мужской;24;Специалист по развитию бизнеса;3;Нет;2-3 года;Обычно;Иногда;Почти всегда;Почти всегда;Почти всегда;Обычно;Почти всегда;Редко;Почти никогда;Редко;Редко;Обычно;Редко;Обычно;Обычно;Почти никогда;Почти всегда;Почти всегда;Почти всегда;Обычно;Редко;Почти всегда;Редко;Обычно;Согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Согласен;Скорее несогласен;Трудно решить;Скорее согласен;Согласен;Не согласен;Согласен;Не согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее несогласен;Не согласен;Трудно решить;Не согласен;Скорее согласен;Не согласен;Не согласен;Не согласен;Скорее согласен;Согласен;Скорее несогласен;Не согласен;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Согласен;Согласен;Не согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Нет;Нет;Нет;Да;Нет;Да;Да;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
59;59;24.10.2018 15:43:15;Мужской;22;Слесарь КИПиА;2;Нет;2-3 года;Обычно;Почти всегда;Почти всегда;Почти всегда;Редко;Редко;Почти всегда;Иногда;Почти всегда;Иногда;Почти никогда;Почти никогда;Почти всегда;Почти никогда;Почти никогда;Почти никогда;Редко;Обычно;Обычно;Почти никогда;Почти никогда;Почти никогда;Почти никогда;Почти всегда;Не согласен;Трудно решить;Скорее несогласен;Согласен;Согласен;Скорее несогласен;Не согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее несогласен;Не согласен;Трудно решить;Трудно решить;Согласен;Согласен;Скорее согласен;Не согласен;Не согласен;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Согласен;Согласен;Трудно решить;Скорее согласен;Согласен;Трудно решить;Согласен;Скорее согласен;Согласен;Трудно решить;Согласен;Не согласен;Скорее несогласен;Согласен;Согласен;Не согласен;Трудно решить;Не согласен;Согласен;Согласен;Согласен;Трудно решить;Не согласен;Согласен;Согласен;Нет;Да;Нет;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Нет;Нет;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
60;60;24.10.2018 15:47:47;Мужской;27;IT;6;Да;Больше 5 лет;Почти всегда;Иногда;Почти всегда;Почти всегда;Почти всегда;Почти всегда;Иногда;Редко;Редко;Иногда;Почти всегда;Обычно;Почти никогда;Обычно;Почти всегда;Обычно;Почти всегда;Почти всегда;Почти никогда;Почти всегда;Почти всегда;Почти всегда;Обычно;Почти никогда;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Согласен;Не согласен;Согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Не согласен;Согласен;Согласен;Согласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Согласен;Не согласен;Согласен;Скорее согласен;Скорее несогласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Трудно решить;Согласен;Согласен;Скорее несогласен;Скорее несогласен;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
61;61;24.10.2018 15:52:43;Мужской;33;Электромонтер;2;Да;Больше 5 лет;Почти всегда;Иногда;Обычно;Обычно;Обычно;Иногда;Обычно;Почти никогда;Обычно;Редко;Иногда;Обычно;Иногда;Обычно;Иногда;Редко;Обычно;Редко;Редко;Обычно;Редко;Обычно;Обычно;Обычно;Скорее несогласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Не согласен;Согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Нет;Мне нравится моя профессия;7;Сторож;6
62;62;24.10.2018 15:56:17;Мужской;27;Программист;3;Да;3-5 года;Почти всегда;Иногда;Обычно;Редко;Обычно;Обычно;Почти никогда;Иногда;Иногда;Редко;Почти всегда;Почти всегда;Иногда;Почти всегда;Почти всегда;Иногда;Обычно;Редко;Иногда;Редко;Иногда;Обычно;Обычно;Редко;Скорее несогласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Скорее согласен;Не согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Не согласен;Не согласен;Скорее несогласен;Не согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее несогласен;Не согласен;Не согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Нет;Да;Да;Да;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Нет;Да;Да;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
63;63;24.10.2018 15:56:29;Мужской;29;Графический дизайнер;4;Да;Больше 5 лет;Обычно;Иногда;Иногда;Иногда;Обычно;Почти никогда;Обычно;Иногда;Почти всегда;Иногда;Почти никогда;Почти никогда;Обычно;Обычно;Почти никогда;Обычно;Почти всегда;Обычно;Редко;Иногда;Почти никогда;Иногда;Почти никогда;Обычно;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Не согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Согласен;Согласен;Согласен;Скорее несогласен;Согласен;Согласен;Согласен;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Да;Нет;Да;Да;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
64;64;24.10.2018 15:59:23;Мужской;27;Заведующий отделением частной стоматологии;6;Да;2-3 года;Почти всегда;Обычно;Редко;Обычно;Обычно;Иногда;Иногда;Редко;Редко;Иногда;Обычно;Обычно;Редко;Обычно;Иногда;Редко;Почти всегда;Обычно;Обычно;Обычно;Иногда;Обычно;Редко;Почти всегда;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Не согласен;Скорее согласен;Не согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Трудно решить;Не согласен;Согласен;Скорее согласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Согласен;Трудно решить;Трудно решить;Согласен;Согласен;Не согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Согласен;Скорее согласен;Трудно решить;Трудно решить;Трудно решить;Не согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Да;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Нет;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
